stop_id,stop_name,stop_lat,stop_lon
MA-00000440,Av. Vucetich 7344-7398,-31.46532095699329,-64.08537626266481
MA-00000432,Avenida Rafael Núñez 4840,-31.35970207382626,-64.23871278762819
MA-00000422,Avenida Rafael Núñez 4727,-31.36105797134812,-64.23830509185792
MA-00000419,Avenida Sagrada Familia 1657,-31.38334502368049,-64.22406792640687
p7_vuelta_a1,Avenida Armada Argentina 1088,-31.46047983230854,-64.21646118164064
p5_vuelta_a1,Lago Argentino 1999,-31.46545822531045,-64.22525882720949
p29_ida_a1,Avenida Vélez Sarsfield 2240,-31.439758089324467,-64.19667720794679
C4090,Sarmiento 333,-31.41146,-64.17708
MA-00000356,Cleto Aguirre 5674,-31.409125443603315,-64.26049961318971
MA-00000267,López y Planes 2485,-31.420789651052413,-64.15187358856203
MA-00000940,Avenida Colón 1223,-31.408776763916425,-64.19974110403633
C7147,Julia Funes de Bonet 236,-31.39965619752987,-64.26707983016969
C3832,Avenida La Donosa 5443,-31.45244,-64.257024
MA-00000946,Avenida La Donosa 4803,-31.452164726684366,-64.24898915327879
MA-00000921,Avenida El Quebracho 3941,-31.477038370885555,-64.14557576179506
MA-00000902,Avenida Agustín Roque Arias 3239,-31.445662056311377,-64.24281120300294
MA-00000881,Bonaire S/N,-31.48558873218899,-64.24774646759035
MA-00000713,Avenida Castro Barros 652,-31.399198314407414,-64.19775009155275
MA-00000866,Germán Berdiales 1202,-31.352978931961683,-64.15759733654657
MA-00000849,Mascachín 2193,-31.48909282787169,-64.2360144853592
MA-00000836,Concejal Felipe Belardinelli 3158,-31.447460632794456,-64.19427931308746
MA-00000826,Bartolomé Hidalgo 1779,-31.359528004484748,-64.14822041988374
MA-00000789,Junin 3800,-31.42890114209119,-64.13597345352174
MA-00000772,Lino Spilimbergo S/N,-31.355478510953976,-64.22598838806154
p39_vuelta_a1,Mariano Fragueíro 4586,-31.36377886886273,-64.18384552001955
MA-00000695,Gobernación 1172,-31.476768443066504,-64.22064542770387
C6443,Gobernación 982,-31.477280847754113,-64.21789884567262
MA-00000674,Ausonia 9278,-31.329766572760445,-64.2946743965149
MA-00000657,Manuel de Falla 7380,-31.33701,-64.2902
MA-00000634,72 Chateau Reserva,-31.371854065552323,-64.25335228443147
C9073,Avenida Colón 2073,-31.405764144742577,-64.21005606651308
MA-00000625,Avenida Madrid 2476,-31.43856809745034,-64.16881442070009
MA-00000615,Villa Boedo,-31.430018019304807,-64.1081213951111
